Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,latitude,longitude
16661,Dunga Nursing Home,Dunga Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Kisumu,Kisumu Central,Kisumu Central,Nyalenda B,Operational,No,No,No,No,,Yes,Yes,No,,
12325,Kinoro Sub-District Hospital,Kinoro Sub-District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Meru,South Imenti,Imenti South,Igoji West,Operational,No,No,No,No,,Yes,Yes,No,-0.17948,37.62503
12314,Kilungu Sub County Hospital,Kilungu Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,15,4,19,Makueni,Kaiti,Kaiti,Kilungu,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
12294,Kiengu Maternity and Nursing Home,Kiengu Maternity and Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,25,4,29,Meru,Igembe Central,Igembe Central,Igembe East,Operational,No,No,No,No,,Yes,Yes,No,,
14792,Kaptumo Sub-County Hospital,Kaptumo Sub-County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,28,0,28,Nandi,Aldai,Aldai,Kaptumo/Kaboi,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
12921,Dorkcare Nursing Home,Dorkcare Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,9,0,9,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
12282,Kibirichia Sub-District Hospital,Kibirichia Sub-district Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,12,2,14,Meru,Buuri,Buuri,Kibirichia,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.1098149,37.5124275
12902,Compassionate Hospital,Compassionate Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,,Yes,Yes,No,,
12306,Kikoko Mission Hospital,Kikoko Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,46,8,54,Makueni,Kaiti,Kaiti,Kilungu,Operational,Yes,No,Yes,No,,Yes,Yes,No,-1.8038,37.3953
11299,Dawida Maternity Nursing Home,Dawida Maternity Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Taita Taveta,Wundanyi,Wundanyi,Wundanyi/Mbale,Operational,No,No,No,No,,Yes,Yes,No,,
12303,St Theresa Kiirua Hospital (Kiirua),St Theresa Hospital (Kiirua),,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,120,13,133,Meru,Buuri,Buuri,Kiirua/Naari,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
10627,Kiria-Ini Mission Hospital,Kiria-ini Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,80,3,83,Muranga,Mathioya,Mathioya,Kiru,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,-0.6025,36.953
14749,Kapsabet County Referral Hospital,Kapsabet County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,200,6,206,Nandi,Emgwen,Emgwen,Kapsabet,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
12850,Woodlands Hospital,Woodlands Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Meru,North Imenti,Imenti North,Ntima East,Operational,No,No,No,No,,Yes,Yes,No,,
12795,Tharaka District Hospital,Tharaka District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,54,0,54,Tharaka Nithi,Tharaka,Tharaka South,Marimanti,Operational,Yes,No,Yes,No,,Yes,Yes,No,-0.158184,37.975253
13564,Gesusu Sub-County Referral Hospital,Gesusu Sub-County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,28,4,32,Kisii,Nyaribari Masaba,Nyaribari Masaba,Gesusu,Operational,Yes,No,No,No,,Yes,Yes,No,,
12508,Mbooni Sub County Hospital,Mbooni Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,41,5,46,Makueni,Mbooni,Mbooni,Mbooni,Operational,Yes,No,No,No,,Yes,Yes,No,,
13112,Nairobi South Hospital,Nairobi South Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,23,0,23,Nairobi,Langata,Langata,South C,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
